公司名称,地区,地址,联系人,职务,电子邮件,电话号码,邮政编码,主营,,客户类别,所属新野,人数,注册资金,开业日期,传真
上海博杨制衣有限公司,上海,上海市南汇区三灶镇南六公路８７６号３０１室,杨俊,,,58036959,201300,服装及辅料，制造，加工，销售。,,私营经济,服装制造业,200,100,2002-5-31
上海正源电力安装工程有限公司,上海,上海市长宁区江苏北路８８弄８号２０２室,邹俭伟,,,62448155,200042,３５千伏及以下变配电设施维修和安装，电力电缆敷设，防火，封堵，发电输煤系统等一般辅助设备检修，防腐，保温，电力电缆防火，封堵施工，维修；销售金属材料（除贵稀金属），五金机械，家用电器。（凡涉及许可经营,,有限责任公司,线路、管道安装业,80,158,2002-9-5
上海存真仪器仪表有限公司,上海,上海市青浦区赵巷镇崧泽科技园,郭云莉,,,69758268,201703,生产仪器仪表，机电产品（凭证生产），销售计算机，五金交电，机械设备，日用百货，电子产品，建材。,,私营经济,教学仪器制造业,30,150,2002-4-19
上海申程建筑幕墙维修咨询有限公司,上海,上海市河南北路４４１号１８０４室,程娅骅,,,63900226,200071,建筑幕墙设计，技术咨询，技术服务为主的科技经营（凭许可证经营）。建筑材料。（除专控及易燃易爆品）。,,私营经济,技术推广和科技交流服务业,30,180,2002-6-29
上海浦东金山联合贸易有限公司,上海,上海市浦东新区崂山东路６８９号４０５室－４０７室,刘益林,,,62485137,200122,经营石油化工及其加工产品和设备出口，石油化工设备、配件，原辅料进口，技术进出口，代理进出口，三来一补，中外合资合作，除专项规定外国内商业批发，零售（含生产资料）。,,有限责任公司,化工材料批发业,32,200,2002-5-29
上海幼狮高级轿车修理有限公司,上海,上海市姚虹西路８２号,陶巍,,,62758086,201103,汽车修理，保养．汽车配件。,,有限责任公司,汽车修理业,250,408,2002-3-6
上海中亚报关实业有限公司,上海,上海市江西中路３７４号８楼,严政,,,63293285,200002,代理报关，转关，报验等相关业务，咨询服务,,有限责任公司,其他类未包括的社会服务业,47,200,2002-7-31
上海黄海耐火机械有限公司,上海,江苏省大丰市四岔河,马少平,,,0515*3262034,224151,耐火机械产品。其它机械制造及加工，手工工具。,,私营经济,建筑材料及其他非金属矿物制品专用设备制造业,89,134,2002-9-10
中国福马林业机械上海有限公司,上海,上海市定西路１３１０弄８号二楼,葛贤生,,,62403083,200050,林业，林化，木工，人造板机械及配件．林业机电配件及材料。有关林业机械技术服务、维修．木材制品，半成品及林副产品，橡塑制品，包装．,,有限责任公司,机械、电子设备批发业,37,280,2002-5-17
上海建筑设计研究院浦东分院,上海,上海市浦东乳山路１１４弄１９号,盛昭俊,,,50817030,200120,工业与民用建筑勘察设计。经营方式：服务,,国有经济,工程设计业,110,271,2002-2-7
上海中建建筑设计院,上海,上海市世纪大道１５００号７楼,徐峰,,,68407215,200122,建筑设计。建筑机械设备及配件，建筑装饰材料．经营方式：承包，服务销售,,国有经济,工程设计业,85,150,2002-4-15
上海黄海磨片有限公司,上海,江苏省大丰县四岔河,朱卫民,,,0515-3262080,224151,纤维板磨片，造纸磨片，榨油磨片．不锈钢磨片，铸铁件，铸钢件．机械零件，不锈钢制品，有色金属铸造，钢材，生铁。,,有限责任公司,其他类未包括的非金属矿物制品业,92,216,2002-8-26
